hmdb_id	name	pubchem_id	chebi_id	kegg_id	metlin_id	lipid	smiles	exactmass	formula	inchi_key	super_class	main_class	sub_class	synonym	chem_id	comp_id	derived_feature
""	2,6-dihydroxybenzoic acid			""			""			""		""	""	2,6-dihydroxybenzoic acid	100020837	63042	FALSE
""	tridecenedioate (C13:1-DC)*			""			""			""		""	""	tridecenedioate (C13:1-DC)*	100002199	62919	FALSE
""	pregnenetriol disulfate*			""			""			""		""	""	pregnenetriol disulfate*	100021104	62921	FALSE
""	bilirubin degradation product, C17H20N2O5 (1)**			""			""			""		""	""	bilirubin degradation product, C17H20N2O5 (1)**	100022008	64405	FALSE
""	deoxycholic acid glucuronide			""			""			""		""	""	deoxycholic acid glucuronide	100020550	63610	FALSE
""	eicosenedioate (C20:1-DC)*			""			""			""		""	""	eicosenedioate (C20:1-DC)*	100021105	62923	FALSE
""	2,3-dihydroxy-5-methylthio-4-pentenoate (DMTPA)*			""			""			""		""	""	2,3-dihydroxy-5-methylthio-4-pentenoate (DMTPA)*	100020893	62805	FALSE
""	glu-gly-asn-val**			""			""			""		""	""	glu-gly-asn-val**	100021107	62917	FALSE
""	metabolonic lactone sulfate			""			""			""		""	""	metabolonic lactone sulfate	100021331	63153	FALSE
""	picolinoylglycine			""			""			""		""	""	picolinoylglycine	100021198	63057	FALSE
""	4-allylcatechol sulfate			""			""			""		""	""	4-allylcatechol sulfate	100020578	63597	FALSE
""	4-ethylcatechol sulfate			""			""			""		""	""	4-ethylcatechol sulfate	100020536	63072	FALSE
""	tetradecadienoate (14:2)*			""			""			""		""	""	tetradecadienoate (14:2)*	100020343	62850	FALSE
""	2,4-di-tert-butylphenol			""			""			""		""	""	2,4-di-tert-butylphenol	100021918	64328	FALSE
""	glutamine conjugate of C6H10O2 (2)*			""			""			""		""	""	glutamine conjugate of C6H10O2 (2)*	100020262	63660	FALSE
""	11beta-hydroxyandrosterone glucuronide			""			""			""		""	""	11beta-hydroxyandrosterone glucuronide	100020541	63251	FALSE
""	menthol glucuronide			""			""			""		""	""	menthol glucuronide	100022475	64873	FALSE
""	alpha-CMBHC glucuronide			""			""			""		""	""	alpha-CMBHC glucuronide	100005977	63926	FALSE
""	taurodeoxycholic acid 3-sulfate			""			""			""		""	""	taurodeoxycholic acid 3-sulfate	100006644	62889	FALSE
""	taurochenodeoxycholic acid 3-sulfate			""			""			""		""	""	taurochenodeoxycholic acid 3-sulfate	100021093	62890	FALSE
""	glycoursodeoxycholic acid sulfate (1)			""			""			""		""	""	glycoursodeoxycholic acid sulfate (1)	100020819	63731	FALSE
""	1-methyl-5-imidazoleacetate			""			""			""		""	""	1-methyl-5-imidazoleacetate	100002910	62946	FALSE
""	3-hydroxyoctanoylcarnitine (1)			""			""			""		""	""	3-hydroxyoctanoylcarnitine (1)	100021990	64393	FALSE
""	tetrahydrocortisol glucuronide			""			""			""		""	""	tetrahydrocortisol glucuronide	100022013	64411	FALSE
